developer-essentials|Developer Essentials|Core engineering starter pack covering debugging, auth, code review, SQL, E2E, and monorepo workflows.|skills,starter,engineering|tests/ext_conformance/artifacts/agents-wshobson/developer-essentials
backend-development|Backend Development|API and architecture starter pack for services, orchestration, CQRS, and backend design.|skills,backend,architecture|tests/ext_conformance/artifacts/agents-wshobson/backend-development
frontend-mobile-development|Frontend And Mobile Development|Cross-platform UI starter pack for React, Next.js, state management, and mobile app patterns.|skills,frontend,mobile|tests/ext_conformance/artifacts/agents-wshobson/frontend-mobile-development
documentation-generation|Documentation Generation|OpenAPI, ADR, changelog, and architecture-documentation starter pack.|skills,docs,architecture|tests/ext_conformance/artifacts/agents-wshobson/documentation-generation
framework-migration|Framework Migration|Upgrade and migration starter pack for app modernization and dependency transitions.|skills,migration,engineering|tests/ext_conformance/artifacts/agents-wshobson/framework-migration
cicd-automation|CI/CD Automation|Delivery starter pack for GitHub Actions, GitLab CI, deployment pipelines, and secrets management.|skills,devops,delivery|tests/ext_conformance/artifacts/agents-wshobson/cicd-automation
cloud-infrastructure|Cloud Infrastructure|Cloud and platform starter pack for Terraform, service mesh, networking, and cost optimization.|skills,infrastructure,devops|tests/ext_conformance/artifacts/agents-wshobson/cloud-infrastructure
data-engineering|Data Engineering|ETL and analytics starter pack for Spark, dbt, Airflow, and data quality workflows.|skills,data,backend|tests/ext_conformance/artifacts/agents-wshobson/data-engineering
incident-response|Incident Response|Production operations starter pack for on-call workflows, runbooks, and postmortems.|skills,operations,reliability|tests/ext_conformance/artifacts/agents-wshobson/incident-response
accessibility-compliance|Accessibility Compliance|WCAG and screen-reader starter pack for accessible product development.|skills,frontend,quality|tests/ext_conformance/artifacts/agents-wshobson/accessibility-compliance
javascript-typescript|JavaScript And TypeScript|Frontend and Node.js starter pack for modern JavaScript, typing, and testing patterns.|skills,language,frontend|tests/ext_conformance/artifacts/agents-wshobson/javascript-typescript
conductor|Conductor|Project orchestration starter pack for context-driven development and workflow management.|skills,workflow,planning|tests/ext_conformance/artifacts/agents-wshobson/conductor
